altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,4,11,Chicago,491,True,True,Chicago,2020-05-01 08:43:25,41.9466358306,Chicago,-87.694614758,60602,Chicago,Chicago,Talman Ave & Addison St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,12,Chicago,492,True,True,Chicago,2020-05-01 06:02:23,41.946655,Chicago,-87.683359,60602,Chicago,Chicago,Leavitt St & Addison St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,3,Chicago,493,True,True,Chicago,2020-05-01 07:48:49,41.943034,Chicago,-87.687288,60602,Chicago,Chicago,Western Ave & Roscoe St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,10,Chicago,494,True,True,Chicago,2020-05-01 10:00:03,41.98239708485,Chicago,-87.7089225202,60602,Chicago,Chicago,Kedzie Ave & Bryn Mawr Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,5,Chicago,495,True,True,Chicago,2020-05-01 04:11:14,41.96110801623,Chicago,-87.7289701012,60602,Chicago,Chicago,Keystone Ave & Montrose Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,4,7,Chicago,496,True,True,Chicago,2020-05-01 09:39:07,41.939408,Chicago,-87.723574,60602,Chicago,Chicago,Avers Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,8,7,Chicago,497,True,True,Chicago,2020-05-01 09:45:49,41.939398,Chicago,-87.711561,60602,Chicago,Chicago,Kimball Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,14,Chicago,498,True,True,Chicago,2020-05-01 07:31:27,41.93842879148,Chicago,-87.698007756,60602,Chicago,Chicago,California Ave & Fletcher St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,14,1,Chicago,499,True,True,Chicago,2020-05-01 04:56:41,41.93058537138,Chicago,-87.7237773635,60602,Chicago,Chicago,Kosciuszko Park,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,10,Chicago,500,True,True,Chicago,2020-05-01 10:56:02,41.93533728263,Chicago,-87.7168892935,60602,Chicago,Chicago,Central Park Ave & Elbridge Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,501,True,True,Chicago,2020-05-01 11:02:17,41.93190196886,Chicago,-87.7011951301,60602,Chicago,Chicago,Richmond St & Diversey Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,10,Chicago,502,True,True,Chicago,2020-05-01 10:23:11,41.92669,Chicago,-87.697668,60602,Chicago,Chicago,California Ave & Altgeld St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,11,Chicago,503,True,True,Chicago,2020-05-01 04:51:23,41.924398819,Chicago,-87.7154410355,60602,Chicago,Chicago,Drake Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,9,Chicago,504,True,True,Chicago,2020-05-01 07:39:16,41.92463247165,Chicago,-87.6893070063,60602,Chicago,Chicago,Campbell Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,12,Chicago,505,True,True,Chicago,2020-05-01 11:11:22,41.92409085038,Chicago,-87.6764600747,60602,Chicago,Chicago,Winchester Ave & Elston Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,11,Chicago,506,True,True,Chicago,2020-05-01 04:51:22,41.917108034789315,Chicago,-87.71022096276283,60602,Chicago,Chicago,Spaulding Ave & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,14,Chicago,507,True,True,Chicago,2020-05-01 10:37:52,41.91751339399,Chicago,-87.7018089555,60602,Chicago,Chicago,Humboldt Blvd & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,10,5,Chicago,508,True,True,Chicago,2020-05-01 08:42:12,41.90965687563,Chicago,-87.7166319516,60602,Chicago,Chicago,Central Park Ave & North Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,14,1,Chicago,509,True,True,Chicago,2020-05-01 11:23:28,41.90976930169,Chicago,-87.7052804871,60602,Chicago,Chicago,Troy St & North Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,2,Chicago,510,True,True,Chicago,2020-05-01 04:51:22,41.90270659438,Chicago,-87.709219571,60602,Chicago,Chicago,Spaulding Ave & Division St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,8,Chicago,511,True,True,Chicago,2020-05-01 04:56:42,41.91402671273,Chicago,-87.705126462,60602,Chicago,Chicago,Albany Ave & Bloomingdale Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,514,True,True,Chicago,2020-05-01 04:56:42,42.019276,Chicago,-87.68452,60602,Chicago,Chicago,Ridge Blvd & Howard St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,17,2,Chicago,515,True,True,Chicago,2020-05-01 08:18:22,42.019159,Chicago,-87.673573,60602,Chicago,Chicago,Paulina St & Howard St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,7,4,Chicago,517,True,True,Chicago,2020-05-01 08:06:46,42.015963,Chicago,-87.675005,60602,Chicago,Chicago,Clark St & Jarvis Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,4,Chicago,518,True,True,Chicago,2020-05-01 04:21:16,41.885502,Chicago,-87.716866,60602,Chicago,Chicago,Conservatory Dr & Lake St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,6,Chicago,519,True,True,Chicago,2020-05-01 04:16:15,42.016977,Chicago,-87.677725,60602,Chicago,Chicago,Wolcott Ave & Fargo Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,4,15,Chicago,520,True,True,Chicago,2020-05-01 11:24:43,42.015962,Chicago,-87.66857,60602,Chicago,Chicago,Greenview Ave & Jarvis Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,8,Chicago,522,True,True,Chicago,2020-05-01 04:56:42,42.019537,Chicago,-87.669563,60602,Chicago,Chicago,Bosworth Ave & Howard St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,8,7,Chicago,523,True,True,Chicago,2020-05-01 10:31:09,42.0208872805206,Chicago,-87.66505792737007,60602,Chicago,Chicago,Eastlake Ter & Rogers Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,2,Chicago,524,True,True,Chicago,2020-05-01 04:56:42,41.894887,Chicago,-87.774704,60602,Chicago,Chicago,Austin Blvd & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,7
0.0,4,11,Chicago,525,True,True,Chicago,2020-05-01 09:31:42,42.012701,Chicago,-87.666058,60602,Chicago,Chicago,Glenwood Ave & Touhy Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,6,Chicago,526,True,True,Chicago,2020-05-01 04:16:15,42.012342,Chicago,-87.688243,60602,Chicago,Chicago,Oakley Ave & Touhy Ave,IN_SERVICE,1,IN_SERVICE,False,11
